Escuela,Cant. Reservas,Años,Cant. Años,Último Año,Contacto (último),Teléfono (último),Email,Niveles,Total Chicos,Sección,Otros Contactos,Otros Teléfonos
SAN RAFAEL,29,"2017, 2018, 2019, 2022",4,2.022,GABRIELA,45660462 / 1167835547||,,"J, 2A, 1, 3, 5, 3B, 2B, 4, 6, 2",1.322,Teatro,MARIA ROSA | SILVINA | ANALIA,1121762790 | 1151550712 | 1159555947
LIBERTADORES,26,"2017, 2018, 2019, 2022, 2023, 2025",6,2.025,VERONICA,1165219201,karina.raymundo@fds-esc.edu.ar,"2, 5",3.252,"Teatro, Viajera",14 | 17 | 19,25 | 50 | 57
GUADALUPE  $45.000,22,"2017, 2018, 2019, 2022, 2023, 2024, 2025",7,2.025,MICA,1156681398,,"2, 3, 1, 4",1.283,Teatro,MARIA | FLORENCIA | M ELSA,1130426833 | 1132426833 | 1138040787
ECEA,19,"2017, 2018, 2019, 2022",4,2.022,NOELIA,1521889413,,"2, 23, 4, 1, 3, 600",1.192,Teatro,YOLANDA | CARLA | SUSANA,1132310553 | 1150042439 | 1158503355
DIVINA PASTORA,18,"2017, 2018, 2019, 2025",4,2.025,CAROLINA,1158548545,,"1, 3, 4, 2, 5",561,Teatro,MARIANELA | PATRCIA | PATRICIA,4635 7435 | 4635 7435   1173244 009 | 4635 7435  117324 4009
JUGUETERIA,18,"2017, 2018, 2019, 2022, 2025",5,2.025,129,11,,"10, 7, 3",2.732,Teatro,3 | 6 | 9,5 | 17 | 47
19 DIST 15,17,"2017, 2018, 2019, 2022, 2024",5,2.024,ANDREA,1130842509,,"6, 4, 1, 2, 5, 12",844,Teatro,ALEJANDRA | SILVANA | DORA BETINA,1121775933 | 1551474762 | 155461 0107
LUJAN PORTEÑO,16,"2017, 2018, 2019, 2023",4,2.023,KARINA,155041088,,"2, 6, 5, 1, 3",406,Teatro,,4612 9541 | 4612 9541  155041088 | 155804 1088
CUENTOS,15,"2017, 2023, 2025",3,2.025,ABDREA CASTRO,1161568382,,,1.828,"Teatro, Viajera",8 | 23 | 24,76 | 78 | 152
ORSINO,15,"2017, 2018, 2022",3,2.022,RUTH,1568736939,,"2, 6, 5, 1, J, 4, 3",1.015,Teatro,SILVIA | SILVIA SIANCIO | MARIANA,4581 8001 | 4581 8001  15368 81386 | 4581 8001  15616 28880
